user_id,transport,recycle,plastic,meat,task,score
866,Public Transport,No,Yes,Daily,Carry reusable water bottle,50
867,Car,Yes,Yes,Rarely,Use cloth bags while shopping,50
868,Car,Yes,No,Few times,Plant or water a plant,70
869,Car,No,No,Rarely,Plant or water a plant,50
870,Car,Yes,Yes,Rarely,Turn off unused lights,50
871,Car,Yes,Yes,No,Walk instead of driving for short distances,50
872,Walk/Cycle,No,No,No,Unplug unused chargers,80
873,Public Transport,No,Yes,Few times,Walk instead of driving for short distances,60
874,Public Transport,No,No,Daily,Reduce shower time by 2 minutes,70
875,Walk/Cycle,No,Yes,Few times,Carry reusable water bottle,60
876,Walk/Cycle,Yes,Yes,No,Unplug unused chargers,80
877,Public Transport,Yes,No,Daily,Reduce shower time by 2 minutes,90
878,Walk/Cycle,No,Yes,No,Walk instead of driving for short distances,60
879,Car,Yes,Yes,Few times,Turn off unused lights,50
880,Car,No,Yes,Daily,Use cloth bags while shopping,20
881,Walk/Cycle,No,No,No,Carry reusable water bottle,80
882,Public Transport,Yes,Yes,No,Carry reusable water bottle,80
883,Car,Yes,Yes,Few times,Walk instead of driving for short distances,50
884,Public Transport,No,Yes,No,Unplug unused chargers,60
885,Car,No,No,Daily,Use cloth bags while shopping,40
886,Walk/Cycle,No,Yes,Rarely,Reduce electricity usage,60
887,Public Transport,No,Yes,Daily,Unplug unused chargers,50
888,Public Transport,Yes,Yes,Rarely,Reduce electricity usage,80
889,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
890,Walk/Cycle,No,No,Few times,Unplug unused chargers,80
891,Public Transport,No,No,Daily,Use cloth bags while shopping,70
892,Car,No,No,No,Reduce electricity usage,50
893,Walk/Cycle,No,No,No,Carry reusable water bottle,80
894,Walk/Cycle,No,No,Daily,Walk instead of driving for short distances,70
895,Public Transport,No,Yes,Rarely,Use cloth bags while shopping,60
896,Public Transport,No,No,Few times,Plant or water a plant,80
897,Car,No,Yes,Rarely,Turn off unused lights,30
898,Car,Yes,No,Daily,Carry reusable water bottle,60
899,Car,No,Yes,Rarely,Use public transport today,30
900,Car,No,No,Rarely,Reduce shower time by 2 minutes,50
901,Car,No,Yes,Rarely,Reduce electricity usage,30
902,Walk/Cycle,No,Yes,Rarely,Plant or water a plant,60
903,Car,No,No,Rarely,Use public transport today,50
904,Car,No,Yes,Few times,Try vegetarian meal,30
905,Car,No,No,Daily,Walk instead of driving for short distances,40
906,Walk/Cycle,No,Yes,No,Reduce electricity usage,60
907,Public Transport,No,Yes,Daily,Unplug unused chargers,50
908,Walk/Cycle,Yes,No,No,Reduce shower time by 2 minutes,100
909,Walk/Cycle,No,Yes,Few times,Reduce electricity usage,60
910,Public Transport,No,No,Daily,Use public transport today,70
911,Walk/Cycle,Yes,No,Daily,Reduce shower time by 2 minutes,90
912,Public Transport,No,No,Daily,Unplug unused chargers,70
913,Walk/Cycle,Yes,No,Daily,Turn off unused lights,90
914,Car,Yes,No,Daily,Avoid single-use plastic,60
915,Car,Yes,Yes,Daily,Use public transport today,40
916,Car,Yes,No,Rarely,Reduce electricity usage,70
917,Walk/Cycle,No,No,No,Reduce electricity usage,80
918,Public Transport,No,Yes,No,Reduce electricity usage,60
919,Public Transport,Yes,Yes,Daily,Walk instead of driving for short distances,70
920,Walk/Cycle,Yes,No,Rarely,Carry reusable water bottle,100
921,Public Transport,No,Yes,No,Use cloth bags while shopping,60
922,Walk/Cycle,No,No,No,Walk instead of driving for short distances,80
923,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
924,Car,Yes,No,Daily,Plant or water a plant,60
925,Walk/Cycle,No,No,Rarely,Use public transport today,80
926,Car,No,No,No,Plant or water a plant,50
927,Car,No,Yes,Daily,Reduce shower time by 2 minutes,20
928,Public Transport,No,Yes,No,Use cloth bags while shopping,60
929,Walk/Cycle,Yes,No,Rarely,Reduce electricity usage,100
930,Public Transport,Yes,No,No,Reduce shower time by 2 minutes,100
931,Walk/Cycle,Yes,No,Few times,Carry reusable water bottle,100
932,Walk/Cycle,Yes,No,Rarely,Use cloth bags while shopping,100
933,Car,No,No,No,Unplug unused chargers,50
934,Walk/Cycle,Yes,No,Rarely,Carry reusable water bottle,100
935,Walk/Cycle,Yes,No,Daily,Try vegetarian meal,90
936,Car,Yes,No,Few times,Unplug unused chargers,70
937,Public Transport,No,Yes,No,Plant or water a plant,60
938,Public Transport,Yes,Yes,Daily,Try vegetarian meal,70
939,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
940,Public Transport,Yes,Yes,Daily,Walk instead of driving for short distances,70
941,Public Transport,No,Yes,No,Walk instead of driving for short distances,60
942,Walk/Cycle,Yes,No,Rarely,Turn off unused lights,100
943,Walk/Cycle,No,No,No,Reduce shower time by 2 minutes,80
944,Public Transport,No,Yes,No,Walk instead of driving for short distances,60
945,Car,No,No,No,Walk instead of driving for short distances,50
946,Walk/Cycle,Yes,No,No,Avoid single-use plastic,100
947,Walk/Cycle,Yes,Yes,Rarely,Use cloth bags while shopping,80
948,Walk/Cycle,Yes,Yes,Daily,Use cloth bags while shopping,70
949,Car,Yes,No,No,Carry reusable water bottle,70
950,Car,No,Yes,Few times,Use cloth bags while shopping,30
951,Public Transport,Yes,Yes,No,Unplug unused chargers,80
952,Car,Yes,No,No,Use public transport today,70
953,Public Transport,No,No,No,Reduce electricity usage,80
954,Walk/Cycle,No,Yes,Rarely,Reduce shower time by 2 minutes,60
955,Car,Yes,Yes,Few times,Reduce electricity usage,50
956,Car,No,No,Few times,Use cloth bags while shopping,50
957,Car,Yes,Yes,No,Walk instead of driving for short distances,50
958,Public Transport,No,Yes,Few times,Walk instead of driving for short distances,60
959,Public Transport,Yes,Yes,Rarely,Walk instead of driving for short distances,80
960,Public Transport,No,No,Few times,Try vegetarian meal,80
961,Walk/Cycle,Yes,Yes,Few times,Walk instead of driving for short distances,80
962,Public Transport,Yes,Yes,Rarely,Use public transport today,80
963,Car,Yes,Yes,Few times,Plant or water a plant,50
964,Public Transport,No,No,Rarely,Reduce shower time by 2 minutes,80
965,Car,No,Yes,No,Walk instead of driving for short distances,30
966,Walk/Cycle,No,Yes,Rarely,Plant or water a plant,60
967,Public Transport,Yes,No,No,Turn off unused lights,100
968,Walk/Cycle,Yes,Yes,No,Use cloth bags while shopping,80
969,Public Transport,No,No,No,Unplug unused chargers,80
970,Walk/Cycle,Yes,Yes,Rarely,Reduce shower time by 2 minutes,80
971,Walk/Cycle,Yes,No,Few times,Carry reusable water bottle,100
972,Walk/Cycle,Yes,No,Daily,Walk instead of driving for short distances,90
973,Public Transport,Yes,No,No,Unplug unused chargers,100
974,Public Transport,No,No,Daily,Plant or water a plant,70
975,Car,No,No,Rarely,Reduce shower time by 2 minutes,50
976,Car,Yes,Yes,Few times,Reduce electricity usage,50
977,Walk/Cycle,No,Yes,No,Use cloth bags while shopping,60
978,Walk/Cycle,Yes,Yes,Daily,Avoid single-use plastic,70
979,Car,No,No,Rarely,Reduce shower time by 2 minutes,50
980,Car,Yes,Yes,Rarely,Plant or water a plant,50
981,Car,Yes,Yes,No,Turn off unused lights,50
982,Walk/Cycle,Yes,No,Daily,Reduce electricity usage,90
983,Public Transport,Yes,No,Daily,Unplug unused chargers,90
984,Public Transport,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
985,Car,Yes,Yes,Rarely,Unplug unused chargers,50
986,Public Transport,No,Yes,No,Try vegetarian meal,60
987,Car,Yes,No,Few times,Reduce electricity usage,70
988,Walk/Cycle,No,Yes,Daily,Reduce electricity usage,50
989,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
990,Car,No,No,Few times,Use public transport today,50
991,Walk/Cycle,No,Yes,Rarely,Unplug unused chargers,60
992,Car,No,Yes,Few times,Use cloth bags while shopping,30
993,Walk/Cycle,No,Yes,Few times,Use cloth bags while shopping,60
994,Walk/Cycle,No,Yes,Rarely,Use cloth bags while shopping,60
995,Car,No,No,Daily,Reduce shower time by 2 minutes,40
996,Car,No,Yes,Few times,Reduce electricity usage,30
997,Car,Yes,No,Few times,Carry reusable water bottle,70
998,Car,Yes,Yes,Few times,Turn off unused lights,50
999,Walk/Cycle,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
1000,Public Transport,No,No,No,Use cloth bags while shopping,80
1001,Public Transport,No,No,Rarely,Carry reusable water bottle,80
1002,Public Transport,No,No,No,Reduce shower time by 2 minutes,80
1003,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
1004,Car,No,Yes,No,Carry reusable water bottle,30
1005,Public Transport,Yes,No,Few times,Try vegetarian meal,100
1006,Car,No,No,Few times,Plant or water a plant,50
1007,Public Transport,No,No,Rarely,Reduce shower time by 2 minutes,80
1008,Car,No,Yes,No,Use public transport today,30
1009,Public Transport,Yes,Yes,No,Reduce electricity usage,80
1010,Public Transport,Yes,Yes,Rarely,Reduce shower time by 2 minutes,80
1011,Walk/Cycle,No,Yes,Rarely,Walk instead of driving for short distances,60
1012,Public Transport,No,Yes,No,Walk instead of driving for short distances,60
1013,Public Transport,No,No,Rarely,Walk instead of driving for short distances,80
1014,Walk/Cycle,Yes,No,Daily,Try vegetarian meal,90
1015,Car,Yes,Yes,Daily,Walk instead of driving for short distances,40
1016,Car,No,Yes,Rarely,Unplug unused chargers,30
1017,Car,Yes,No,No,Try vegetarian meal,70
1018,Car,Yes,Yes,Rarely,Reduce electricity usage,50
1019,Walk/Cycle,No,No,Rarely,Unplug unused chargers,80
1020,Walk/Cycle,Yes,No,Few times,Unplug unused chargers,100
1021,Walk/Cycle,No,Yes,Daily,Use cloth bags while shopping,50
1022,Car,No,Yes,No,Reduce electricity usage,30
1023,Walk/Cycle,Yes,Yes,Daily,Avoid single-use plastic,70
1024,Walk/Cycle,Yes,Yes,Daily,Carry reusable water bottle,70
1025,Car,No,Yes,Daily,Try vegetarian meal,20
1026,Public Transport,No,No,No,Reduce shower time by 2 minutes,80
1027,Car,Yes,No,Daily,Use cloth bags while shopping,60
1028,Public Transport,No,No,Daily,Use cloth bags while shopping,70
1029,Public Transport,No,No,No,Plant or water a plant,80
1030,Car,Yes,No,Rarely,Plant or water a plant,70
1031,Public Transport,Yes,No,Daily,Try vegetarian meal,90
1032,Public Transport,No,No,Few times,Plant or water a plant,80
1033,Walk/Cycle,Yes,No,Few times,Try vegetarian meal,100
1034,Public Transport,No,No,Rarely,Use cloth bags while shopping,80
1035,Public Transport,No,Yes,Rarely,Unplug unused chargers,60
1036,Public Transport,Yes,Yes,Few times,Use cloth bags while shopping,80
1037,Public Transport,Yes,No,Rarely,Plant or water a plant,100
1038,Walk/Cycle,Yes,Yes,Few times,Reduce electricity usage,80
1039,Public Transport,Yes,No,Rarely,Plant or water a plant,100
1040,Walk/Cycle,No,No,No,Unplug unused chargers,80
1041,Walk/Cycle,No,Yes,No,Plant or water a plant,60
1042,Car,No,Yes,Few times,Plant or water a plant,30
1043,Car,Yes,No,Rarely,Reduce electricity usage,70
1044,Public Transport,Yes,No,Rarely,Turn off unused lights,100
1045,Public Transport,Yes,No,Rarely,Use public transport today,100
1046,Walk/Cycle,Yes,Yes,No,Reduce electricity usage,80
1047,Car,Yes,No,Few times,Reduce electricity usage,70
1048,Walk/Cycle,Yes,No,No,Carry reusable water bottle,100
1049,Car,No,No,Daily,Carry reusable water bottle,40
1050,Car,Yes,Yes,Daily,Reduce electricity usage,40
1051,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
1052,Walk/Cycle,Yes,Yes,No,Avoid single-use plastic,80
1053,Public Transport,No,No,No,Avoid single-use plastic,80
1054,Car,Yes,No,No,Walk instead of driving for short distances,70
1055,Car,Yes,No,Daily,Plant or water a plant,60
1056,Walk/Cycle,Yes,Yes,No,Turn off unused lights,80
1057,Walk/Cycle,No,No,Daily,Reduce shower time by 2 minutes,70
1058,Walk/Cycle,Yes,Yes,Daily,Walk instead of driving for short distances,70
1059,Public Transport,No,No,Few times,Plant or water a plant,80
1060,Public Transport,No,No,Few times,Turn off unused lights,80
1061,Walk/Cycle,Yes,No,Rarely,Use public transport today,100
1062,Public Transport,No,No,Daily,Reduce shower time by 2 minutes,70
1063,Public Transport,No,Yes,No,Avoid single-use plastic,60
1064,Walk/Cycle,No,No,No,Reduce shower time by 2 minutes,80
1065,Walk/Cycle,No,Yes,Few times,Carry reusable water bottle,60
1066,Walk/Cycle,Yes,No,No,Carry reusable water bottle,100
1067,Public Transport,Yes,Yes,Daily,Reduce electricity usage,70
1068,Public Transport,No,No,Daily,Use cloth bags while shopping,70
1069,Public Transport,No,Yes,Rarely,Use public transport today,60
1070,Car,Yes,Yes,Daily,Walk instead of driving for short distances,40
1071,Walk/Cycle,Yes,No,No,Use public transport today,100
1072,Walk/Cycle,No,Yes,Rarely,Reduce electricity usage,60
1073,Public Transport,Yes,Yes,No,Avoid single-use plastic,80
1074,Walk/Cycle,Yes,Yes,No,Try vegetarian meal,80
1075,Walk/Cycle,Yes,No,No,Use public transport today,100
1076,Walk/Cycle,Yes,Yes,Daily,Turn off unused lights,70
1077,Public Transport,No,Yes,Daily,Use cloth bags while shopping,50
1078,Car,Yes,No,Few times,Reduce shower time by 2 minutes,70
1079,Public Transport,No,No,Daily,Walk instead of driving for short distances,70
1080,Car,No,Yes,Few times,Avoid single-use plastic,30
1081,Walk/Cycle,No,No,No,Try vegetarian meal,80
1082,Car,No,Yes,Few times,Use public transport today,30
1083,Walk/Cycle,No,No,Few times,Use cloth bags while shopping,80
1084,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
1085,Walk/Cycle,No,No,No,Carry reusable water bottle,80
1086,Walk/Cycle,No,No,Daily,Use cloth bags while shopping,70
1087,Car,No,Yes,Few times,Unplug unused chargers,30
1088,Car,Yes,Yes,No,Plant or water a plant,50
1089,Walk/Cycle,No,Yes,Few times,Reduce electricity usage,60
1090,Car,Yes,Yes,Rarely,Use public transport today,50
1091,Walk/Cycle,No,Yes,Daily,Use public transport today,50
1092,Public Transport,No,Yes,Few times,Turn off unused lights,60
1093,Walk/Cycle,Yes,No,Few times,Reduce shower time by 2 minutes,100
1094,Walk/Cycle,No,Yes,Daily,Turn off unused lights,50
1095,Car,No,No,No,Try vegetarian meal,50
1096,Car,Yes,No,Few times,Avoid single-use plastic,70
1097,Walk/Cycle,Yes,No,Rarely,Walk instead of driving for short distances,100
1098,Walk/Cycle,Yes,No,Few times,Use cloth bags while shopping,100
1099,Public Transport,Yes,Yes,No,Reduce shower time by 2 minutes,80
1100,Car,No,No,Daily,Use cloth bags while shopping,40
1101,Public Transport,No,Yes,Daily,Reduce shower time by 2 minutes,50
1102,Public Transport,Yes,Yes,Rarely,Reduce shower time by 2 minutes,80
1103,Car,No,No,Few times,Unplug unused chargers,50
1104,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
1105,Public Transport,No,No,Rarely,Reduce electricity usage,80
1106,Walk/Cycle,Yes,Yes,Daily,Unplug unused chargers,70
1107,Car,No,Yes,No,Carry reusable water bottle,30
1108,Walk/Cycle,No,Yes,No,Carry reusable water bottle,60
1109,Walk/Cycle,No,No,No,Carry reusable water bottle,80
1110,Walk/Cycle,No,Yes,Daily,Avoid single-use plastic,50
1111,Walk/Cycle,Yes,Yes,Daily,Reduce electricity usage,70
1112,Public Transport,No,Yes,Daily,Reduce shower time by 2 minutes,50
1113,Public Transport,No,Yes,Few times,Use public transport today,60
1114,Walk/Cycle,Yes,Yes,Daily,Turn off unused lights,70
1115,Public Transport,Yes,Yes,No,Avoid single-use plastic,80
1116,Public Transport,Yes,No,Few times,Reduce shower time by 2 minutes,100
1117,Car,Yes,No,Daily,Use public transport today,60
1118,Walk/Cycle,No,No,Rarely,Try vegetarian meal,80
1119,Car,No,Yes,No,Use public transport today,30
1120,Public Transport,No,Yes,Daily,Turn off unused lights,50
1121,Car,No,No,Daily,Unplug unused chargers,40
1122,Public Transport,Yes,No,Daily,Plant or water a plant,90
1123,Public Transport,No,Yes,Daily,Avoid single-use plastic,50
1124,Walk/Cycle,Yes,No,No,Reduce shower time by 2 minutes,100
1125,Public Transport,Yes,Yes,Rarely,Plant or water a plant,80
1126,Walk/Cycle,No,Yes,Few times,Try vegetarian meal,60
1127,Public Transport,No,No,No,Reduce shower time by 2 minutes,80
1128,Public Transport,No,Yes,No,Use public transport today,60
1129,Public Transport,No,Yes,No,Reduce shower time by 2 minutes,60
1130,Car,No,No,Few times,Use cloth bags while shopping,50
1131,Walk/Cycle,No,Yes,No,Use cloth bags while shopping,60
1132,Car,Yes,No,No,Plant or water a plant,70
1133,Car,No,Yes,Daily,Use public transport today,20
1134,Public Transport,Yes,No,No,Reduce shower time by 2 minutes,100
1135,Car,Yes,Yes,Rarely,Unplug unused chargers,50
1136,Walk/Cycle,No,No,Few times,Walk instead of driving for short distances,80
1137,Car,Yes,No,No,Use public transport today,70
1138,Walk/Cycle,No,No,Daily,Reduce electricity usage,70
1139,Car,No,Yes,Daily,Reduce electricity usage,20
1140,Public Transport,No,No,Few times,Reduce electricity usage,80
1141,Car,No,Yes,Rarely,Use public transport today,30
1142,Walk/Cycle,No,Yes,Rarely,Use public transport today,60
1143,Public Transport,Yes,No,Few times,Reduce shower time by 2 minutes,100
1144,Public Transport,No,Yes,Rarely,Use cloth bags while shopping,60
1145,Walk/Cycle,Yes,Yes,No,Carry reusable water bottle,80
1146,Car,Yes,No,Daily,Avoid single-use plastic,60
1147,Walk/Cycle,Yes,No,Few times,Carry reusable water bottle,100
1148,Walk/Cycle,Yes,No,Few times,Plant or water a plant,100
1149,Car,No,No,Daily,Reduce shower time by 2 minutes,40
1150,Walk/Cycle,No,Yes,Daily,Use public transport today,50
1151,Car,No,Yes,Rarely,Carry reusable water bottle,30
1152,Car,No,Yes,No,Walk instead of driving for short distances,30
1153,Public Transport,Yes,Yes,Rarely,Reduce electricity usage,80
1154,Public Transport,No,No,Few times,Turn off unused lights,80
1155,Public Transport,No,Yes,Rarely,Walk instead of driving for short distances,60
1156,Walk/Cycle,No,No,Few times,Avoid single-use plastic,80
1157,Car,No,Yes,Daily,Walk instead of driving for short distances,20
1158,Walk/Cycle,Yes,No,No,Try vegetarian meal,100
1159,Car,Yes,Yes,No,Carry reusable water bottle,50
1160,Public Transport,Yes,No,Daily,Use public transport today,90
1161,Car,Yes,Yes,Rarely,Use public transport today,50
1162,Car,No,Yes,No,Use public transport today,30
1163,Car,No,Yes,Few times,Plant or water a plant,30
1164,Public Transport,No,No,Daily,Reduce electricity usage,70
1165,Walk/Cycle,No,No,No,Walk instead of driving for short distances,80
1166,Walk/Cycle,Yes,No,No,Reduce electricity usage,100
1167,Car,No,No,Few times,Avoid single-use plastic,50
1168,Car,Yes,Yes,Rarely,Reduce shower time by 2 minutes,50
1169,Walk/Cycle,Yes,Yes,No,Reduce shower time by 2 minutes,80
1170,Public Transport,Yes,No,Daily,Turn off unused lights,90
1171,Public Transport,Yes,Yes,Rarely,Reduce shower time by 2 minutes,80
1172,Walk/Cycle,Yes,No,Few times,Turn off unused lights,100
1173,Public Transport,Yes,Yes,Rarely,Unplug unused chargers,80
1174,Public Transport,Yes,No,Rarely,Reduce electricity usage,100
1175,Car,Yes,Yes,Few times,Use public transport today,50
1176,Car,Yes,No,Daily,Reduce shower time by 2 minutes,60
1177,Walk/Cycle,Yes,No,Rarely,Unplug unused chargers,100
1178,Walk/Cycle,Yes,No,Few times,Avoid single-use plastic,100
1179,Car,Yes,Yes,Few times,Use public transport today,50
1180,Walk/Cycle,Yes,Yes,Rarely,Avoid single-use plastic,80
1181,Public Transport,No,Yes,No,Unplug unused chargers,60
1182,Car,Yes,Yes,No,Avoid single-use plastic,50
1183,Public Transport,No,No,Rarely,Use public transport today,80
1184,Walk/Cycle,Yes,Yes,Rarely,Avoid single-use plastic,80
1185,Car,No,Yes,Rarely,Use cloth bags while shopping,30
1186,Walk/Cycle,Yes,No,No,Carry reusable water bottle,100
1187,Car,Yes,Yes,Daily,Unplug unused chargers,40
1188,Walk/Cycle,Yes,Yes,Daily,Walk instead of driving for short distances,70
1189,Walk/Cycle,No,Yes,Daily,Avoid single-use plastic,50
1190,Car,Yes,No,Daily,Reduce shower time by 2 minutes,60
1191,Walk/Cycle,Yes,Yes,Few times,Use cloth bags while shopping,80
1192,Public Transport,Yes,No,No,Carry reusable water bottle,100
1193,Public Transport,No,No,Daily,Reduce electricity usage,70
1194,Public Transport,No,No,No,Reduce electricity usage,80
1195,Public Transport,Yes,Yes,No,Carry reusable water bottle,80
1196,Public Transport,No,No,No,Use public transport today,80
1197,Car,No,No,No,Reduce shower time by 2 minutes,50
1198,Public Transport,Yes,No,Few times,Try vegetarian meal,100
1199,Walk/Cycle,No,Yes,Few times,Walk instead of driving for short distances,60
1200,Public Transport,Yes,Yes,Rarely,Unplug unused chargers,80
1201,Walk/Cycle,No,Yes,Rarely,Turn off unused lights,60
1202,Public Transport,Yes,Yes,Few times,Try vegetarian meal,80
1203,Car,Yes,Yes,Few times,Try vegetarian meal,50
1204,Car,No,No,Daily,Walk instead of driving for short distances,40
1205,Car,No,No,Rarely,Unplug unused chargers,50
1206,Public Transport,Yes,No,No,Try vegetarian meal,100
1207,Public Transport,No,Yes,No,Walk instead of driving for short distances,60
1208,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
1209,Public Transport,Yes,No,Few times,Use public transport today,100
1210,Walk/Cycle,Yes,Yes,Few times,Plant or water a plant,80
1211,Walk/Cycle,Yes,Yes,Rarely,Use cloth bags while shopping,80
1212,Car,Yes,No,Daily,Walk instead of driving for short distances,60
1213,Car,No,Yes,Rarely,Plant or water a plant,30
1214,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
1215,Car,Yes,Yes,No,Reduce electricity usage,50
1216,Public Transport,No,Yes,Few times,Turn off unused lights,60
1217,Walk/Cycle,No,Yes,Rarely,Carry reusable water bottle,60
1218,Walk/Cycle,Yes,No,Few times,Use cloth bags while shopping,100
1219,Public Transport,Yes,Yes,Daily,Use public transport today,70
1220,Walk/Cycle,Yes,Yes,Few times,Try vegetarian meal,80
1221,Public Transport,No,No,No,Walk instead of driving for short distances,80
1222,Public Transport,No,No,No,Use cloth bags while shopping,80
1223,Public Transport,No,Yes,Daily,Reduce electricity usage,50
1224,Public Transport,No,Yes,No,Reduce electricity usage,60
1225,Walk/Cycle,Yes,No,Rarely,Use public transport today,100
1226,Walk/Cycle,Yes,No,Rarely,Reduce electricity usage,100
1227,Public Transport,Yes,No,No,Use cloth bags while shopping,100
1228,Public Transport,No,Yes,Rarely,Plant or water a plant,60
1229,Walk/Cycle,No,Yes,Rarely,Reduce electricity usage,60
1230,Walk/Cycle,No,Yes,Daily,Walk instead of driving for short distances,50
1231,Walk/Cycle,No,Yes,Daily,Turn off unused lights,50
1232,Car,Yes,No,Daily,Reduce electricity usage,60
1233,Walk/Cycle,Yes,No,Few times,Use public transport today,100
1234,Car,Yes,No,Daily,Unplug unused chargers,60
1235,Walk/Cycle,No,No,Daily,Avoid single-use plastic,70
1236,Walk/Cycle,Yes,Yes,No,Reduce shower time by 2 minutes,80
1237,Walk/Cycle,No,No,Daily,Avoid single-use plastic,70
1238,Car,No,No,Few times,Turn off unused lights,50
1239,Car,No,No,No,Use public transport today,50
1240,Car,Yes,No,Daily,Reduce electricity usage,60
1241,Car,No,Yes,No,Turn off unused lights,30
1242,Walk/Cycle,No,Yes,No,Try vegetarian meal,60
1243,Car,Yes,Yes,Few times,Unplug unused chargers,50
1244,Public Transport,Yes,No,Rarely,Walk instead of driving for short distances,100
1245,Walk/Cycle,Yes,Yes,Daily,Turn off unused lights,70
1246,Walk/Cycle,Yes,Yes,Daily,Reduce shower time by 2 minutes,70
1247,Public Transport,No,Yes,Daily,Reduce electricity usage,50
1248,Car,Yes,No,Daily,Avoid single-use plastic,60
1249,Walk/Cycle,No,No,No,Use cloth bags while shopping,80
1250,Car,Yes,No,No,Use cloth bags while shopping,70
1251,Walk/Cycle,Yes,No,Few times,Reduce shower time by 2 minutes,100
1252,Public Transport,Yes,Yes,Few times,Walk instead of driving for short distances,80
1253,Public Transport,No,Yes,No,Use public transport today,60
1254,Walk/Cycle,Yes,No,No,Walk instead of driving for short distances,100
1255,Public Transport,Yes,Yes,Rarely,Plant or water a plant,80
1256,Walk/Cycle,No,Yes,Few times,Avoid single-use plastic,60
1257,Public Transport,No,No,Daily,Carry reusable water bottle,70
1258,Public Transport,Yes,Yes,Daily,Use cloth bags while shopping,70
1259,Public Transport,Yes,Yes,Rarely,Try vegetarian meal,80
1260,Car,No,Yes,No,Reduce electricity usage,30
1261,Public Transport,Yes,No,Rarely,Walk instead of driving for short distances,100
1262,Car,No,No,No,Turn off unused lights,50
1263,Public Transport,Yes,No,Daily,Plant or water a plant,90
1264,Public Transport,No,No,No,Reduce electricity usage,80
1265,Public Transport,No,Yes,Daily,Plant or water a plant,50
1266,Public Transport,Yes,No,Few times,Try vegetarian meal,100
1267,Car,No,Yes,Daily,Walk instead of driving for short distances,20
1268,Public Transport,No,No,Few times,Use cloth bags while shopping,80
1269,Walk/Cycle,Yes,Yes,Few times,Try vegetarian meal,80
1270,Car,No,No,Daily,Reduce electricity usage,40
1271,Walk/Cycle,No,No,Rarely,Try vegetarian meal,80
1272,Public Transport,No,No,Rarely,Try vegetarian meal,80
1273,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
1274,Public Transport,No,Yes,No,Try vegetarian meal,60
1275,Public Transport,No,No,Rarely,Unplug unused chargers,80
1276,Car,Yes,No,No,Reduce electricity usage,70
1277,Public Transport,Yes,No,Rarely,Use public transport today,100
1278,Car,Yes,No,Daily,Avoid single-use plastic,60
1279,Car,No,Yes,Few times,Carry reusable water bottle,30
1280,Public Transport,No,Yes,Daily,Reduce shower time by 2 minutes,50
1281,Walk/Cycle,Yes,Yes,No,Walk instead of driving for short distances,80
1282,Walk/Cycle,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
1283,Public Transport,Yes,No,Daily,Plant or water a plant,90
1284,Walk/Cycle,Yes,No,Few times,Reduce shower time by 2 minutes,100
1285,Public Transport,Yes,No,Rarely,Carry reusable water bottle,100
1286,Car,Yes,Yes,Daily,Walk instead of driving for short distances,40
1287,Public Transport,Yes,Yes,Daily,Reduce shower time by 2 minutes,70
1288,Car,Yes,No,Rarely,Turn off unused lights,70
1289,Car,Yes,No,No,Carry reusable water bottle,70
1290,Walk/Cycle,Yes,Yes,No,Walk instead of driving for short distances,80
1291,Car,Yes,Yes,No,Plant or water a plant,50
1292,Car,Yes,No,Daily,Avoid single-use plastic,60
1293,Car,Yes,Yes,Rarely,Use cloth bags while shopping,50
1294,Public Transport,Yes,Yes,No,Reduce shower time by 2 minutes,80
1295,Car,No,No,No,Unplug unused chargers,50
1296,Walk/Cycle,Yes,No,Rarely,Reduce electricity usage,100
1297,Car,No,Yes,Daily,Try vegetarian meal,20
1298,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
1299,Car,No,No,Few times,Plant or water a plant,50
1300,Public Transport,No,No,Daily,Reduce electricity usage,70
1301,Car,No,No,No,Turn off unused lights,50
1302,Public Transport,No,Yes,Daily,Use public transport today,50
1303,Car,No,No,Daily,Plant or water a plant,40
1304,Public Transport,Yes,Yes,Rarely,Reduce electricity usage,80
1305,Car,No,No,Daily,Use cloth bags while shopping,40
1306,Car,No,No,No,Walk instead of driving for short distances,50
1307,Car,No,Yes,Rarely,Use cloth bags while shopping,30
1308,Public Transport,Yes,Yes,Few times,Use cloth bags while shopping,80
1309,Public Transport,No,No,Rarely,Unplug unused chargers,80
1310,Public Transport,No,No,Few times,Plant or water a plant,80
1311,Public Transport,No,No,No,Unplug unused chargers,80
1312,Walk/Cycle,Yes,Yes,Daily,Carry reusable water bottle,70
